,id,last_scraped,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,city,state,zipcode,latitude,longitude
13,5435.0,2019-03-07,Manhattan,Upper West Side,Manhattan,New York,NY,10025,40.80155,-73.97
96,20311.0,2019-03-07,Brooklyn,Prospect Heights,Brooklyn,Brooklyn,NY,11238,40.67206,-73.96344
132,27024.0,2019-03-07,Chelsea,Chelsea,Manhattan,New York,NY,10001,40.74968,-74.00052
268,62264.0,2019-03-07,Williamsburg,Williamsburg,Brooklyn,Brooklyn,NY,11211,40.72159,-73.96018000000002
324,70381.0,2019-03-07,Soho,SoHo,Manhattan,New York,NY,10013,40.72195,-74.00356
396,106906.0,2019-03-07,Clinton Hill,Clinton Hill,Brooklyn,Brooklyn,NY,11238,40.68625,-73.96719
455,145777.0,2019-03-07,Brooklyn,Carroll Gardens,Brooklyn,Brooklyn,NY,11231,40.67973,-73.99797
534,180653.0,2019-03-07,Inwood,Inwood,Manhattan,New York,NY,10034,40.86883,-73.92126
543,185478.0,2019-03-06,Brooklyn,Fort Greene,Brooklyn,Brooklyn,NY,11205,40.69155,-73.97023
546,187671.0,2019-03-07,Manhattan,East Village,Manhattan,New York,NY,10009,40.73066,-73.98149000000002
573,198629.0,2019-03-06,Harlem,East Harlem,Manhattan,New York,NY,10029,40.78983,-73.94759
574,198786.0,2019-03-07,Upper West Side,Upper West Side,Manhattan,New York,NY,10023,40.779,-73.98533
596,209422.0,2019-03-07,East Village,East Village,Manhattan,New York,NY,10003,40.72609,-73.98976
632,226334.0,2019-03-07,Lower East Side,Chinatown,Manhattan,New York,NY,10002,40.71643,-73.99108000000003
663,237162.0,2019-03-07,Queens,Richmond Hill,Queens,Queens,NY,11418,40.70154,-73.83102
676,242479.0,2019-03-07,Astoria,Astoria,Queens,Queens,NY,11103,40.76313,-73.91565
687,246896.0,2019-03-07,Clinton Hill,Clinton Hill,Brooklyn,Brooklyn,NY,11238,40.68055,-73.96112
690,247562.0,2019-03-07,Richmond Hill,Richmond Hill,Queens,Queens,NY,11418,40.70014000000001,-73.83015
805,276120.0,2019-03-07,Upper West Side,Upper West Side,Manhattan,New York,NY,10023,40.77873,-73.98465999999998
850,288043.0,2019-03-06,West Village,West Village,Manhattan,New York,NY,10014,40.73891,-74.0086
1039,399640.0,2019-03-07,Lower East Side,Lower East Side,Manhattan,New York,NY,10002,40.71958,-73.99214
1064,413282.0,2019-03-06,Brooklyn,Williamsburg,Brooklyn,Brooklyn,NY,11211,40.71338,-73.95759
1109,442118.0,2019-03-07,Harlem,Harlem,Manhattan,New York,NY,10026,40.80189,-73.95825
1233,501805.0,2019-03-07,Brooklyn,Boerum Hill,Brooklyn,Brooklyn,NY,11217,40.68595,-73.98406999999997
1249,505716.0,2019-03-06,Lower East Side,East Village,Manhattan,New York,NY,10002,40.72257000000001,-73.98711999999998
1307,531460.0,2019-03-07,Brooklyn,East Flatbush,Brooklyn,Brooklyn,NY,11203,40.64953,-73.93239
1355,559239.0,2019-03-07,Manhattan,Two Bridges,Manhattan,New York,NY,10038,40.7117,-73.99765
1367,566755.0,2019-03-07,Harlem,Harlem,Manhattan,New York,NY,10027,40.80833,-73.94306
1430,596391.0,2019-03-06,Manhattan,Chelsea,Manhattan,New York,NY,10011,40.74748,-74.0057
1435,599336.0,2019-03-07,Manhattan,Washington Heights,Manhattan,New York,NY,10032,40.84373,-73.93562
1523,647598.0,2019-03-07,Alphabet City,East Village,Manhattan,New York,NY,10002,40.72201,-73.97728000000002
1547,657161.0,2019-03-07,Brooklyn,Williamsburg,Brooklyn,Brooklyn,NY,11211,40.71259000000001,-73.95572
1551,657734.0,2019-03-07,Bedford-Stuyvesant,Bedford-Stuyvesant,Brooklyn,Brooklyn,NY,11233,40.68248,-73.92246
1593,682032.0,2019-03-07,Maspeth,Maspeth,Queens,Queens,NY,11378,40.72643,-73.90513
1605,687964.0,2019-03-07,Manhattan,East Village,Manhattan,New York,NY,10009,40.72828,-73.98324000000002
1628,697788.0,2019-03-07,Brooklyn,Park Slope,Brooklyn,Brooklyn,NY,11215,40.67407,-73.97416
