,venue.id,venue.name,venue.location.address,venue.location.crossStreet,venue.location.lat,venue.location.lng,venue.location.labeledLatLngs,neighborhood,pop_rank,venue.location.postalCode,venue.location.cc,venue.location.city,venue.location.state
0,53697d4e498e132a9c6f62c9,Rumba Cubana,6900 JFK Blvd East,70th St,40.79117121195152,-74.00070705767877,"[{'label': 'display', 'lat': 40.79117121195152, 'lng': -74.00070705767877}]",Upper West Side,1,,,,
1,4a35a6fef964a520459d1fe3,Pier I Cafe,W. 70th St,Riverside Park South,40.77979526531109,-73.98865615908811,"[{'label': 'display', 'lat': 40.77979526531109, 'lng': -73.98865615908811}]",Upper West Side,2,,,,
2,49e7897ff964a520b6641fe3,Nougatine at Jean Georges,1 Central Park W,at Broadway,40.76898801930434,-73.98163318634033,"[{'label': 'display', 'lat': 40.76898801930434, 'lng': -73.98163318634033}, {'label': 'entrance', 'lat': 40.769087, 'lng': -73.981407}]",Upper West Side,3,,,,
3,5b70ae7361e53b002c467d75,Momofuku Noodle Bar,10 Columbus Circle,,40.768137,-73.982864,"[{'label': 'display', 'lat': 40.768137, 'lng': -73.982864}]",Upper West Side,4,,,,
4,4ced1fd813aea143d326659f,Tavern on the Green,"1 Tavern on the Green, W 67th St",at West Dr,40.77225625453354,-73.97747550631973,"[{'label': 'display', 'lat': 40.77225625453354, 'lng': -73.97747550631973}]",Upper West Side,5,,,,
5,554e509e498e6819b49ce3b0,Ellington in the Park,Riverside Park,106th street,40.80268551841561,-73.97187893159891,"[{'label': 'display', 'lat': 40.80268551841561, 'lng': -73.97187893159891}]",Upper West Side,6,,,,
6,5078c4f1e4b0dad821e1f6bd,The Smith,1900 Broadway,at W 63rd St,40.77150531958815,-73.98229201694723,"[{'label': 'display', 'lat': 40.77150531958815, 'lng': -73.98229201694723}]",Upper West Side,7,,,,
7,5d2ccef540f3b0002ffe517d,Levain Bakery,1484 3rd Ave,,40.777354,-73.955284,"[{'label': 'display', 'lat': 40.777354, 'lng': -73.955284}, {'label': 'entrance', 'lat': 40.777377, 'lng': -73.955245}]",Upper West Side,8,,,,
8,3fd66200f964a5202fe81ee3,Gray's Papaya,2090 Broadway,at W 72nd St,40.778419,-73.981545,"[{'label': 'display', 'lat': 40.778419, 'lng': -73.981545}]",Upper West Side,9,,,,
9,4a06f7fdf964a5200f731fe3,Absolute Bagels,2788 Broadway,at W 108th St,40.802494,-73.96745,"[{'label': 'display', 'lat': 40.802494, 'lng': -73.96745}, {'label': 'entrance', 'lat': 40.802567, 'lng': -73.967442}]",Upper West Side,10,,,,
10,4ea5be4af5b9efc002cccdea,Shanghai,1388 2nd Ave,btwn 71st & 72nd St,40.768334,-73.958493,"[{'label': 'display', 'lat': 40.768334, 'lng': -73.958493}, {'label': 'entrance', 'lat': 40.768342, 'lng': -73.958499}]",Upper West Side,11,,,,
11,3fd66200f964a52044ea1ee3,J.G. Melon,1291 3rd Ave,at E 74th St,40.77105,-73.95931,"[{'label': 'display', 'lat': 40.77105, 'lng': -73.95931}, {'label': 'entrance', 'lat': 40.771094, 'lng': -73.959412}]",Upper West Side,12,,,,
12,4edfd5865c5cced979ab7dd1,Jacob's Pickles,509 Amsterdam Ave,btwn W 84th & W 85th St,40.78665323745776,-73.9756219616424,"[{'label': 'display', 'lat': 40.78665323745776, 'lng': -73.9756219616424}, {'label': 'entrance', 'lat': 40.786653, 'lng': -73.975563}]",Upper West Side,13,,,,
13,56ba9f99498ef6f5b55a33dc,Breads Bakery,1890 Broadway,,40.7710295,-73.98180789999999,"[{'label': 'display', 'lat': 40.7710295, 'lng': -73.98180789999999}, {'label': 'entrance', 'lat': 40.771016, 'lng': -73.981851}]",Upper West Side,14,,,,
14,4bc38504abf4952123e0c393,Bluestone Lane,1085 5th Ave,at 5th Ave,40.78375703091576,-73.95852577546304,"[{'label': 'display', 'lat': 40.78375703091576, 'lng': -73.95852577546304}, {'label': 'entrance', 'lat': 40.78385, 'lng': -73.958486}]",Upper West Side,15,,,,
15,59541640a22db738071fa21f,Levain Bakery,351 Amsterdam Ave,at W 77th St,40.781513,-73.97926,"[{'label': 'display', 'lat': 40.781513, 'lng': -73.97926}]",Upper West Side,16,,,,
16,5c376e989de23b002cc69549,Ralph’s Café,888 Madison Ave,,40.77162,-73.96582,"[{'label': 'display', 'lat': 40.77162, 'lng': -73.96582}]",Upper West Side,17,,,,
17,485f7eecf964a520da501fe3,Levain Bakery,167 W 74th St,at Amsterdam Ave,40.77979,-73.980065,"[{'label': 'display', 'lat': 40.77979, 'lng': -73.980065}, {'label': 'entrance', 'lat': 40.779888, 'lng': -73.980353}]",Upper West Side,18,,,,
18,55059868498e9eb5c23689de,Paris Baguette,2568 Broadway,btwn W 96th & W 97th St,40.795030754571286,-73.97153799223678,"[{'label': 'display', 'lat': 40.795030754571286, 'lng': -73.97153799223678}]",Upper West Side,19,,,,
19,52be229211d2aabfe6f24d20,Up Thai,1411 2nd Ave,btwn E 73rd St & E 74th St,40.76989759006919,-73.9575976933572,"[{'label': 'display', 'lat': 40.76989759006919, 'lng': -73.9575976933572}]",Upper West Side,20,,,,
20,4a9c75e1f964a520403720e3,The Greek Kitchen,889 10th Ave,at W 58th St,40.76968955893778,-73.98823816523908,"[{'label': 'display', 'lat': 40.76968955893778, 'lng': -73.98823816523908}]",Upper West Side,21,,,,
21,414ccc00f964a520d21c1fe3,Cafe Luxembourg,200 W 70th St,Amsterdam Ave,40.777514,-73.983556,"[{'label': 'display', 'lat': 40.777514, 'lng': -73.983556}, {'label': 'entrance', 'lat': 40.777379, 'lng': -73.982998}]",Upper West Side,22,,,,
22,4d4f05ec9a2a6ea8dd5a286f,Levain Bakery,2167 Frederick Douglass Blvd,117th St,40.80489688300106,-73.9550975367771,"[{'label': 'display', 'lat': 40.80489688300106, 'lng': -73.9550975367771}, {'label': 'entrance', 'lat': 40.804945, 'lng': -73.9552}]",Upper West Side,23,,,,
23,5cf4215b3ba767002c61e681,Blvd Bistro,2149 Frederick Douglass Blvd,116th,40.804384000000006,-73.955802,"[{'label': 'display', 'lat': 40.804384000000006, 'lng': -73.955802}]",Upper West Side,24,,,,
