,venue.id,venue.name,venue.location.address,venue.location.crossStreet,venue.location.lat,venue.location.lng,venue.location.labeledLatLngs,neighborhood,pop_rank,venue.location.postalCode,venue.location.cc,venue.location.city,venue.location.state
0,4a35a6fef964a520459d1fe3,Pier I Cafe,W. 70th St,Riverside Park South,40.77979526531109,-73.98865615908811,"[{'label': 'display', 'lat': 40.77979526531109, 'lng': -73.98865615908811}]",Upper West Side,1,,,,
1,4ced1fd813aea143d326659f,Tavern on the Green,"1 Tavern on the Green, W 67th St",at West Dr,40.77225625453354,-73.97747550631973,"[{'label': 'display', 'lat': 40.77225625453354, 'lng': -73.97747550631973}]",Upper West Side,2,,,,
2,5078c4f1e4b0dad821e1f6bd,The Smith,1900 Broadway,at W 63rd St,40.77150531958815,-73.98229201694723,"[{'label': 'display', 'lat': 40.77150531958815, 'lng': -73.98229201694723}]",Upper West Side,3,,,,
3,3fd66200f964a52044ea1ee3,J.G. Melon,1291 3rd Ave,at E 74th St,40.77105,-73.95931,"[{'label': 'display', 'lat': 40.77105, 'lng': -73.95931}, {'label': 'entrance', 'lat': 40.771094, 'lng': -73.959412}]",Upper West Side,4,,,,
4,4deffce2b0fbfee72f3cacde,Harlem Tavern,2153 Frederick Douglass Blvd,at 116th St,40.80461149405721,-73.95541991885007,"[{'label': 'display', 'lat': 40.80461149405721, 'lng': -73.95541991885007}, {'label': 'entrance', 'lat': 40.80469, 'lng': -73.955563}]",Upper West Side,5,,,,
5,4bc38504abf4952123e0c393,Bluestone Lane,1085 5th Ave,at 5th Ave,40.78375703091576,-73.95852577546304,"[{'label': 'display', 'lat': 40.78375703091576, 'lng': -73.95852577546304}, {'label': 'entrance', 'lat': 40.78385, 'lng': -73.958486}]",Upper West Side,6,,,,
6,564bc0e5498ebbcbab5b0d7b,Eli's Night Shift,189 E 79th St,Third Ave,40.77434551192844,-73.95751164710708,"[{'label': 'display', 'lat': 40.77434551192844, 'lng': -73.95751164710708}, {'label': 'entrance', 'lat': 40.77449, 'lng': -73.957419}]",Upper West Side,7,,,,
7,5997796d603d2a7019b8c58e,THEP Thai Restaurant,1439 2nd Ave,75th St,40.770743347003574,-73.95705953980662,"[{'label': 'display', 'lat': 40.770743347003574, 'lng': -73.95705953980662}]",Upper West Side,8,,,,
8,4a18b5e7f964a520e0791fe3,Dylan Murphy's,1453 3rd Ave,btwn 82nd & 83rd St.,40.776385433739414,-73.95576686149954,"[{'label': 'display', 'lat': 40.776385433739414, 'lng': -73.95576686149954}, {'label': 'entrance', 'lat': 40.776271, 'lng': -73.955644}]",Upper West Side,9,,,,
9,4be1fe8b660ec9282567c83b,Sojourn,244 E 79th St,2nd and 79th,40.773367,-73.955511,"[{'label': 'display', 'lat': 40.773367, 'lng': -73.955511}]",Upper West Side,10,,,,
10,56789ca3498e8831cccabcb4,Amity Hall,982 Amsterdam Ave,,40.80217330493905,-73.96449701688022,"[{'label': 'display', 'lat': 40.80217330493905, 'lng': -73.96449701688022}]",Upper West Side,11,,,,
11,4ce176ed94c3b60c45d876ea,Son Cubano,40-4 Riverwalk Pl,,40.78141299047381,-74.00562083419925,"[{'label': 'display', 'lat': 40.78141299047381, 'lng': -74.00562083419925}]",Upper West Side,12,,,,
12,3fd66200f964a5205ce81ee3,Dive Bar,732 Amsterdam Ave,btwn 95th & 96th St,40.79396867203884,-73.97053180440673,"[{'label': 'display', 'lat': 40.79396867203884, 'lng': -73.97053180440673}, {'label': 'entrance', 'lat': 40.793912, 'lng': -73.97068}]",Upper West Side,13,,,,
13,5a94f6ebdff8155b05687ba7,Nobody Told Me,951 Amsterdam Ave,,40.80075,-73.96506,,Upper West Side,14,,,,
14,42699000f964a52049211fe3,Uva,1486 2nd Ave,btwn 77th & 78th St,40.772118,-73.95564,"[{'label': 'display', 'lat': 40.772118, 'lng': -73.95564}, {'label': 'entrance', 'lat': 40.772209, 'lng': -73.955679}]",Upper West Side,15,,,,
15,5e0d1f21424ca600077f0a06,Tiki Chick,517 Amsterdam Ave,85th St,40.786854,-73.97541,"[{'label': 'display', 'lat': 40.786854, 'lng': -73.97541}]",Upper West Side,16,,,,
16,590baee1cab410306bf495b2,La Esquina,1402 2nd Ave,73rd St,40.76945123405223,-73.95778164213363,"[{'label': 'display', 'lat': 40.76945123405223, 'lng': -73.95778164213363}]",Upper West Side,17,,,,
17,49ef2aabf964a52083681fe3,Amsterdam Ale House,340 Amsterdam Ave,at W 76th St.,40.781255220529324,-73.97990181796905,"[{'label': 'display', 'lat': 40.781255220529324, 'lng': -73.97990181796905}]",Upper West Side,18,,,,
18,49d012ecf964a520fc5a1fe3,The Stumble Inn,1454 2nd Ave,at E 76th St,40.771316658668866,-73.95633817737706,"[{'label': 'display', 'lat': 40.771316658668866, 'lng': -73.95633817737706}, {'label': 'entrance', 'lat': 40.771219, 'lng': -73.956398}]",Upper West Side,19,,,,
19,5db3b91e306d6b00085093ed,Sefton,1373 1st Ave,74th,40.76902,-73.95527,"[{'label': 'display', 'lat': 40.76902, 'lng': -73.95527}, {'label': 'entrance', 'lat': 40.769023, 'lng': -73.955306}]",Upper West Side,20,,,,
20,4ab2a782f964a520c86b20e3,P.J. Clarke's,44 W 63rd St,at Columbus Ave,40.77184767661627,-73.98277613228194,"[{'label': 'display', 'lat': 40.77184767661627, 'lng': -73.98277613228194}]",Upper West Side,21,,,,
21,40a2ba80f964a520fbf21ee3,Broadway Dive,2662 Broadway,at 101st St,40.79797575759824,-73.96931697223722,"[{'label': 'display', 'lat': 40.79797575759824, 'lng': -73.96931697223722}]",Upper West Side,22,,,,
22,554c1424498e6819b466c0e7,Bob's Your Uncle,929 Columbus Ave,btwn W 105th & W 106th St,40.7988711470043,-73.96302240830396,"[{'label': 'display', 'lat': 40.7988711470043, 'lng': -73.96302240830396}, {'label': 'entrance', 'lat': 40.798841, 'lng': -73.962949}]",Upper West Side,23,,,,
23,55f0d205498eb7dd602e122f,Mel's Burger Bar,1450 2nd Ave,btwn 75th and 76th St,40.77109561905668,-73.95669201047615,"[{'label': 'display', 'lat': 40.77109561905668, 'lng': -73.95669201047615}]",Upper West Side,24,,,,
24,51d88578498ef3b3e9b5e975,Pier 115 Bar & Grill,115 River Rd,,40.80366118464227,-73.9877495920349,"[{'label': 'display', 'lat': 40.80366118464227, 'lng': -73.9877495920349}]",Upper West Side,25,,,,
25,5b525fa7894eac002cd28ba1,Vin Sur Vingt,100 Riverside Blvd,W. 64th St,40.775568,-73.989927,"[{'label': 'display', 'lat': 40.775568, 'lng': -73.989927}]",Upper West Side,26,,,,
26,54419745498e8a6b5608301b,The Milling Room,446 Columbus Ave,at W 81st St,40.78353091218605,-73.97429517481174,"[{'label': 'display', 'lat': 40.78353091218605, 'lng': -73.97429517481174}]",Upper West Side,27,,,,
27,4bbd2d578a4fb713d5bf3c9d,Iris & B Gerald Cantor Roof Garden,1000 5th Ave,Roof,40.7787479735791,-73.96453264629011,"[{'label': 'display', 'lat': 40.7787479735791, 'lng': -73.96453264629011}]",Upper West Side,28,,,,
28,424de080f964a520b6201fe3,The Heights Bar & Grill,2867 Broadway,btwn 111th & 112th St.,40.80515365457711,-73.9660777117582,"[{'label': 'display', 'lat': 40.80515365457711, 'lng': -73.9660777117582}]",Upper West Side,29,,,,
29,3fd66200f964a5203be81ee3,Prohibition,503 Columbus Ave,btwn 84th & 85th St.,40.78530141030111,-73.97297416179856,"[{'label': 'display', 'lat': 40.78530141030111, 'lng': -73.97297416179856}, {'label': 'entrance', 'lat': 40.785267, 'lng': -73.972854}]",Upper West Side,30,,,,
30,49f10726f964a5207f691fe3,Carlow East,1254 Lexington Ave,at E 85th St,40.778684535317275,-73.95619829424365,"[{'label': 'display', 'lat': 40.778684535317275, 'lng': -73.95619829424365}]",Upper West Side,31,,,,
31,44281118f964a520ba311fe3,Fred's Restaurant,476 Amsterdam Ave.,at W 83rd St,40.785657789223166,-73.97653947514475,"[{'label': 'display', 'lat': 40.785657789223166, 'lng': -73.97653947514475}, {'label': 'entrance', 'lat': 40.785661, 'lng': -73.976696}]",Upper West Side,32,,,,
32,588d64f5e309e120708a9784,Ousia,629 w 57th st,11th ave,40.77090477574112,-73.9924482699481,"[{'label': 'display', 'lat': 40.77090477574112, 'lng': -73.9924482699481}]",Upper West Side,33,,,,
33,3fd66200f964a5204dea1ee3,Luke's Bar & Grill,1394 3rd Ave,btwn 79th & 80th St.,40.77450325305382,-73.95722215905452,"[{'label': 'display', 'lat': 40.77450325305382, 'lng': -73.95722215905452}]",Upper West Side,34,,,,
34,3fd66200f964a52044e81ee3,Blondies Sports,212 W 79th St,btwn Broadway & Amsterdam Ave,40.78348738780915,-73.97911071192236,"[{'label': 'display', 'lat': 40.78348738780915, 'lng': -73.97911071192236}]",Upper West Side,35,,,,
35,3fd66200f964a52015e31ee3,The Dead Poet,450 Amsterdam Ave,btwn 81st & 82nd St,40.78486750677087,-73.97713849349478,"[{'label': 'display', 'lat': 40.78486750677087, 'lng': -73.97713849349478}, {'label': 'entrance', 'lat': 40.78494, 'lng': -73.977227}]",Upper West Side,36,,,,
36,4ad2b3d4f964a52083e220e3,Excelsior Hotel NYC,45 W 81st St,at Columbus Ave,40.78294941406415,-73.97396406967589,"[{'label': 'display', 'lat': 40.78294941406415, 'lng': -73.97396406967589}]",Upper West Side,37,,,,
37,40fc6080f964a520250b1fe3,The Gin Mill,442 Amsterdam Ave,btwn W 81st & W 82nd St,40.78460871565815,-73.97735348419154,"[{'label': 'display', 'lat': 40.78460871565815, 'lng': -73.97735348419154}, {'label': 'entrance', 'lat': 40.784698, 'lng': -73.977404}]",Upper West Side,38,,,,
38,573f347c498ee00a307e3dbe,Gebhard's Beer Culture,228 W 72nd St,,40.778946,-73.983219,"[{'label': 'display', 'lat': 40.778946, 'lng': -73.983219}, {'label': 'entrance', 'lat': 40.779068, 'lng': -73.983097}]",Upper West Side,39,,,,
39,4391dab8f964a520632b1fe3,Suite,992 Amsterdam Ave,at 109th St,40.802431595192935,-73.96443804747157,"[{'label': 'display', 'lat': 40.802431595192935, 'lng': -73.96443804747157}]",Upper West Side,40,,,,
40,4d3c617784d46ea8b979fd5c,Tarallucci e Vino Wine Bar,475 Columbus Ave,at W 83rd St.,40.78446709046581,-73.97359687321863,"[{'label': 'display', 'lat': 40.78446709046581, 'lng': -73.97359687321863}, {'label': 'entrance', 'lat': 40.784363, 'lng': -73.973513}]",Upper West Side,41,,,,
41,4a541923f964a52008b31fe3,Hi-Life,477 Amsterdam Ave,at W 83rd St,40.785653503704474,-73.97640262142791,"[{'label': 'display', 'lat': 40.785653503704474, 'lng': -73.97640262142791}, {'label': 'entrance', 'lat': 40.785565, 'lng': -73.976355}]",Upper West Side,42,,,,
42,4d68839467a8f04df7ee01be,Osteria Cotta,513 Columbus Ave,btwn W 84th & W 85th St,40.78557829267471,-73.97283558506008,"[{'label': 'display', 'lat': 40.78557829267471, 'lng': -73.97283558506008}]",Upper West Side,43,,,,
43,424c8f00f964a5209e201fe3,Lion's Head Tavern,995 Amsterdam Ave,at W 109th St,40.802369737281886,-73.96428849699417,"[{'label': 'display', 'lat': 40.802369737281886, 'lng': -73.96428849699417}, {'label': 'entrance', 'lat': 40.802205, 'lng': -73.964211}]",Upper West Side,44,,,,
44,4ec68ffb4690116a8afb13cf,Dakota Bar,53 W 72nd St,at Columbus Ave,40.77748356470829,-73.97868538837035,"[{'label': 'display', 'lat': 40.77748356470829, 'lng': -73.97868538837035}, {'label': 'entrance', 'lat': 40.777433, 'lng': -73.978468}]",Upper West Side,45,,,,
45,5ad1635ed7627e4ab31ed8eb,Lilly’s,50 W 72nd St,,40.77729246844122,-73.97845796671781,"[{'label': 'display', 'lat': 40.77729246844122, 'lng': -73.97845796671781}]",Upper West Side,46,,,,
46,516056cfe4b027d842497b45,Silvana,300 W 116th St,Frederick Douglass Blvd,40.80456284789814,-73.9556297481415,"[{'label': 'display', 'lat': 40.80456284789814, 'lng': -73.9556297481415}, {'label': 'entrance', 'lat': 40.804434, 'lng': -73.955775}]",Upper West Side,47,,,,
47,57a7dae9498ec674f3e512b4,Bodega 88,573 Columbus Ave,,40.787497,-73.97134,"[{'label': 'display', 'lat': 40.787497, 'lng': -73.97134}, {'label': 'entrance', 'lat': 40.787512, 'lng': -73.971217}]",Upper West Side,48,,,,
48,5349cafa11d2adce986d476d,e's BAR,511 Amsterdam Ave,btwn W 84th & W 85th St,40.786789787793204,-73.97565381430984,"[{'label': 'display', 'lat': 40.786789787793204, 'lng': -73.97565381430984}]",Upper West Side,49,,,,
49,3fd66200f964a520dfe71ee3,Doc Watson's,1490 2nd Ave,btwn 77th & 78th St,40.7723546531183,-73.95568610284245,"[{'label': 'display', 'lat': 40.7723546531183, 'lng': -73.95568610284245}]",Upper West Side,50,,,,
0,4e8f181e46907a17cc53052c,Cooper's Hawk Winery & Restaurant,798 W Algonquin Rd,at Golf Rd,42.050731175041406,-87.9919089479168,"[{'label': 'display', 'lat': 42.050731175041406, 'lng': -87.9919089479168}]",Prospect Heights,1,,,,
1,4e90fc4f9a52db7dba7ec0cd,Emerson Ale House,113 S Emerson St,Northwest Highway,42.063621644818355,-87.93538740580634,"[{'label': 'display', 'lat': 42.063621644818355, 'lng': -87.93538740580634}]",Prospect Heights,2,,,,
2,5765d6b1498e0e981a85e115,Bulldog Ale House,1480 Golf Rd,btwn Algonquin Rd & New Wilke Rd,42.05152679050994,-88.00049695949467,"[{'label': 'display', 'lat': 42.05152679050994, 'lng': -88.00049695949467}]",Prospect Heights,3,,,,
3,51b7e4f9498ebcba6dcc0a34,Union Ale House Pub,1211 S Wolf Rd,Palatine Rd,42.108658373742614,-87.90747906455495,"[{'label': 'display', 'lat': 42.108658373742614, 'lng': -87.90747906455495}, {'label': 'entrance', 'lat': 42.10844, 'lng': -87.907451}]",Prospect Heights,4,,,,
4,59e14d019be5222513bf1d8b,Wild Buffalo Gastropub,48 Raupp Blvd,,42.152644,-87.968082,"[{'label': 'display', 'lat': 42.152644, 'lng': -87.968082}, {'label': 'entrance', 'lat': 42.152971, 'lng': -87.968373}]",Prospect Heights,5,,,,
5,5b21d295da2e00002b577ea2,Rep's Place,"3156 W Kirchoff Rd, Rolling Meadows, Il",,42.079276,-88.018266,"[{'label': 'display', 'lat': 42.079276, 'lng': -88.018266}]",Prospect Heights,6,,,,
6,4aec809af964a520f9c721e3,Buffalo Wild Wings,301 E Euclid Ave,btwn Rte 83 & Wheeling Rd,42.08738091926071,-87.93290197849274,"[{'label': 'display', 'lat': 42.08738091926071, 'lng': -87.93290197849274}, {'label': 'entrance', 'lat': 42.087478, 'lng': -87.932904}]",Prospect Heights,7,,,,
7,4bc786d192b376b0f5e24f3a,Trackside - Arlington Park,2000 W Euclid Ave,at Wilke Rd,42.088923561478886,-88.00641059875488,"[{'label': 'display', 'lat': 42.088923561478886, 'lng': -88.00641059875488}, {'label': 'entrance', 'lat': 42.088765, 'lng': -88.006599}]",Prospect Heights,8,,,,
8,525c3d4511d2ab5b2275f25c,Bathroom,,,42.13918926182291,-87.88692537730512,"[{'label': 'display', 'lat': 42.13918926182291, 'lng': -87.88692537730512}]",Prospect Heights,9,,,,
9,578ade4f498e403312e50a15,El Garaje de Muchas Cervezas,,,42.129126,-88.010284,"[{'label': 'display', 'lat': 42.129126, 'lng': -88.010284}]",Prospect Heights,10,,,,
10,4b69e149f964a520d9b92be3,Golf Center Des Plaines,353 N River Rd,at Golf Rd,42.05762812560134,-87.88838744722197,"[{'label': 'display', 'lat': 42.05762812560134, 'lng': -87.88838744722197}, {'label': 'entrance', 'lat': 42.057703, 'lng': -87.888299}]",Prospect Heights,11,,,,
11,4ac56774f964a520e1b120e3,Moretti's Ristorante And Pizzeria,1799 S Busse Rd,at Algonquin Rd.,42.03413383541681,-87.95984920507588,"[{'label': 'display', 'lat': 42.03413383541681, 'lng': -87.95984920507588}, {'label': 'entrance', 'lat': 42.034219, 'lng': -87.95983}]",Prospect Heights,12,,,,
12,4bcf95fc9854d13a1a69f64d,Rand Roadhouse,864 Rand Rd,,42.057355296598885,-87.90362423632807,"[{'label': 'display', 'lat': 42.057355296598885, 'lng': -87.90362423632807}]",Prospect Heights,13,,,,
13,4b2d6d43f964a52071d624e3,Cooper's Hawk Winery & Restaurant,583 N Milwaukee Ave,at N Wolf Rd,42.14991389055872,-87.9123957555368,"[{'label': 'display', 'lat': 42.14991389055872, 'lng': -87.9123957555368}, {'label': 'entrance', 'lat': 42.149778, 'lng': -87.912428}]",Prospect Heights,14,,,,
14,4e5d264a52b19f7d473ca9fe,Player's Pub & Grill,1250 S River Rd,Millwaukee,42.104003773693044,-87.88810904827822,"[{'label': 'display', 'lat': 42.104003773693044, 'lng': -87.88810904827822}]",Prospect Heights,15,,,,
15,4bc1610074a9a5934fe0d1f6,Sports Page,1330 E Rand Rd,,42.10395094861088,-87.96705648987282,"[{'label': 'display', 'lat': 42.10395094861088, 'lng': -87.96705648987282}, {'label': 'entrance', 'lat': 42.10394, 'lng': -87.967135}]",Prospect Heights,16,,,,
16,4b9d27abf964a5208d9436e3,Tuscan Market & Wine Shop,141 W Wing St,N Highland Ave,42.08401155413045,-87.98532260130536,"[{'label': 'display', 'lat': 42.08401155413045, 'lng': -87.98532260130536}, {'label': 'entrance', 'lat': 42.083663, 'lng': -87.985921}]",Prospect Heights,17,,,,
17,53e588b0498e5191d0625ebd,Bigby's Pour House,1649 Algonquin Rd,,42.05404594890657,-87.99828956984038,"[{'label': 'display', 'lat': 42.05404594890657, 'lng': -87.99828956984038}, {'label': 'entrance', 'lat': 42.053902, 'lng': -87.997851}]",Prospect Heights,18,,,,
18,4b315fd8f964a520ba0525e3,Peggy Kinnane's Irish Restaurant & Pub,8 N Vail Ave,at W Campbell St,42.082971703992825,-87.98436831978917,"[{'label': 'display', 'lat': 42.082971703992825, 'lng': -87.98436831978917}]",Prospect Heights,19,,,,
19,4b527d6af964a5209b7f27e3,Jimmy D's,1718 W Northwest Hwy,at S Wilke Rd,42.09385496107087,-88.00427169748315,"[{'label': 'display', 'lat': 42.09385496107087, 'lng': -88.00427169748315}, {'label': 'entrance', 'lat': 42.093806, 'lng': -88.004357}]",Prospect Heights,20,,,,
20,4b8086dbf964a5201c7a30e3,Izakaya Sankyu,1176 S Elmhurst Rd,at W Huntington Commons Rd.,42.044094484978956,-87.94164865580917,"[{'label': 'display', 'lat': 42.044094484978956, 'lng': -87.94164865580917}]",Prospect Heights,21,,,,
21,587ed6ab158bbb63d77d22ee,Arlington Ale House,111 W Campbell St,,42.08280283944617,-87.98467022502126,"[{'label': 'display', 'lat': 42.08280283944617, 'lng': -87.98467022502126}, {'label': 'entrance', 'lat': 42.08276, 'lng': -87.984805}]",Prospect Heights,22,,,,
22,4b078addf964a5209afe22e3,Gatsby's Pizza & Pub,427 E Rand Rd,Palatine Rd.,42.11075444912729,-87.97824011471678,"[{'label': 'display', 'lat': 42.11075444912729, 'lng': -87.97824011471678}, {'label': 'entrance', 'lat': 42.110854, 'lng': -87.978204}]",Prospect Heights,23,,,,
23,534c6e74498ea245d1170b9d,Spears Bourbon Burgers Beer,723 N Milwaukee Ave,,42.15078856526885,-87.91280623539174,"[{'label': 'display', 'lat': 42.15078856526885, 'lng': -87.91280623539174}, {'label': 'entrance', 'lat': 42.150906, 'lng': -87.913035}]",Prospect Heights,24,,,,
24,5bef70141af8520039154496,Hey Nonny,10 S Vail Ave,,42.082542,-87.984404,"[{'label': 'display', 'lat': 42.082542, 'lng': -87.984404}, {'label': 'entrance', 'lat': 42.082445, 'lng': -87.984274}]",Prospect Heights,25,,,,
25,4b41dcbdf964a52091c925e3,Johnny's Kitchen & Tap,1740 Milwaukee Ave,,42.08635044947326,-87.87118634525743,"[{'label': 'display', 'lat': 42.08635044947326, 'lng': -87.87118634525743}, {'label': 'entrance', 'lat': 42.08619, 'lng': -87.871305}]",Prospect Heights,26,,,,
26,4b5ac06ff964a52046d328e3,Rocky Vander's,698 N Milwaukee Ave,at Palatine Rd,42.10752811062258,-87.88998018230023,"[{'label': 'display', 'lat': 42.10752811062258, 'lng': -87.88998018230023}]",Prospect Heights,27,,,,
27,4c7547fe3adda14391d606af,City Beverage,,,42.031590845567166,-87.95132153962271,"[{'label': 'display', 'lat': 42.031590845567166, 'lng': -87.95132153962271}]",Prospect Heights,28,,,,
28,5509f771498e32960d45ce40,Draft Picks,912 S Busse Rd,,42.04881012542466,-87.96061516828894,"[{'label': 'display', 'lat': 42.04881012542466, 'lng': -87.96061516828894}]",Prospect Heights,29,,,,
29,4f934f71e4b03828fdb9c76a,JD's Q & Brew,286 W Rand Rd,,42.116777082083566,-87.98612180767381,"[{'label': 'display', 'lat': 42.116777082083566, 'lng': -87.98612180767381}, {'label': 'entrance', 'lat': 42.116857, 'lng': -87.986025}]",Prospect Heights,30,,,,
30,4bca3bfecc8cd13a644dbdcf,Miner Street Tavern,1492 Miner St,btwn Lee St. & Pearson St.,42.04144661167173,-87.88682130095873,"[{'label': 'display', 'lat': 42.04144661167173, 'lng': -87.88682130095873}, {'label': 'entrance', 'lat': 42.041581, 'lng': -87.886487}]",Prospect Heights,31,,,,
31,55fcd484498e60386acae41a,Cortland's Garage,1 N Vail Ave,,42.082948306375734,-87.98400492504119,"[{'label': 'display', 'lat': 42.082948306375734, 'lng': -87.98400492504119}, {'label': 'entrance', 'lat': 42.083003, 'lng': -87.984016}]",Prospect Heights,32,,,,
32,43ca58dff964a520ac2d1fe3,Fox & Hound Bar & Grill,910-918 W Dundee Rd,btwn Ridge Ave & Kennicott Ave,42.139902,-87.994259,"[{'label': 'display', 'lat': 42.139902, 'lng': -87.994259}]",Prospect Heights,33,,,,
33,4b511494f964a520524127e3,Mrs. P & Me,100 E Prosect Ave,,42.06254493633311,-87.93530864638123,"[{'label': 'display', 'lat': 42.06254493633311, 'lng': -87.93530864638123}]",Prospect Heights,34,,,,
34,5bb7e58f088158002cca36b0,The Red Barn Restaurant & Brewery,303 E Kensington Rd,,42.080638,-87.932739,"[{'label': 'display', 'lat': 42.080638, 'lng': -87.932739}]",Prospect Heights,35,,,,
35,4b0905d9f964a520ea1323e3,Jolane's Cafe & Wine Bar,1100 Milwaukee Ave,,42.07622335813204,-87.86042501928202,"[{'label': 'display', 'lat': 42.07622335813204, 'lng': -87.86042501928202}, {'label': 'entrance', 'lat': 42.076695, 'lng': -87.860967}]",Prospect Heights,36,,,,
36,4d33617e72a8b1f7572da7d0,Old Munich Inn,528 N Milwaukee Ave,,42.148897999999996,-87.912911,"[{'label': 'display', 'lat': 42.148897999999996, 'lng': -87.912911}, {'label': 'entrance', 'lat': 42.148911, 'lng': -87.912805}]",Prospect Heights,37,,,,
37,50668d9ee4b0322ccbf058d2,House of Music & Entertainment,1227 N Rand Rd,btwn Thomas St & Waterman Ave,42.09986586556855,-87.96004178965029,"[{'label': 'display', 'lat': 42.09986586556855, 'lng': -87.96004178965029}]",Prospect Heights,38,,,,
38,4c0afe10009a0f47047aeabf,Chili's Grill & Bar,640 East Rand Road,at Palatine Rd,42.108678,-87.9738792,"[{'label': 'display', 'lat': 42.108678, 'lng': -87.9738792}, {'label': 'entrance', 'lat': 42.10861, 'lng': -87.973975}]",Prospect Heights,39,,,,
39,4bd5191d5631c9b6b8b3a330,Rack Em Up,312 McHenry Rd,,42.15847258261968,-87.96130830509291,"[{'label': 'display', 'lat': 42.15847258261968, 'lng': -87.96130830509291}, {'label': 'entrance', 'lat': 42.157905, 'lng': -87.96174}]",Prospect Heights,40,,,,
40,5239df4511d2c26a22078301,Tap House Grill,1472 Market St,,42.042421185193874,-87.88590740957322,"[{'label': 'display', 'lat': 42.042421185193874, 'lng': -87.88590740957322}, {'label': 'entrance', 'lat': 42.042549, 'lng': -87.886107}]",Prospect Heights,41,,,,
41,5a63cc5c5ba04643165be0aa,Tap House Grill,1090 S Milwaukee Ave,,42.114222,-87.894108,"[{'label': 'display', 'lat': 42.114222, 'lng': -87.894108}]",Prospect Heights,42,,,,
42,4d66ec017579224b6f4dfa99,Amvets Phillip Carpenter Post 66,700 McHenry Rd,,42.146684,-87.944569,"[{'label': 'display', 'lat': 42.146684, 'lng': -87.944569}]",Prospect Heights,43,,,,
43,4d54ae9aba5b224bf72c0614,Eddie's Bar,10 E Norrhwest Hwy.,,42.084362910915864,-87.98241987421443,"[{'label': 'display', 'lat': 42.084362910915864, 'lng': -87.98241987421443}]",Prospect Heights,44,,,,
