,venue.id,venue.name,venue.location.address,venue.location.crossStreet,venue.location.lat,venue.location.lng,venue.location.labeledLatLngs,neighborhood,pop_rank,venue.location.postalCode,venue.location.cc,venue.location.city,venue.location.state,venue.location.country
0,4b1e78c2f964a520461a24e3,MTA Subway - 59th St/Columbus Circle (A/B/C/D/1),59th St / Columbus Circle,at Central Park S,40.76874242789886,-73.98190443584976,"[{'label': 'display', 'lat': 40.76874242789886, 'lng': -73.98190443584976}]",Upper West Side,1,,,,,
1,4b21aee7f964a5201b4024e3,MTA Subway - 86th St (4/5/6),1276 Lexington Ave,E 86th St,40.77955449540006,-73.95561305153066,"[{'label': 'display', 'lat': 40.77955449540006, 'lng': -73.95561305153066}]",Upper West Side,2,,,,,
2,4b0e1598f964a520c85423e3,MTA Subway - 96th St (1/2/3),Broadway,btwn W 96 St & W 94 St,40.794211720347185,-73.9720918659845,"[{'label': 'display', 'lat': 40.794211720347185, 'lng': -73.9720918659845}]",Upper West Side,3,,,,,
3,4b60d6c7f964a520bafc29e3,MTA Subway - Lexington Ave/63rd St (F/Q),63rd St,at Lexington Ave,40.76472477237649,-73.96638446951202,"[{'label': 'display', 'lat': 40.76472477237649, 'lng': -73.96638446951202}]",Upper West Side,4,,,,,
4,4adf9445f964a520c47b21e3,MTA Subway - 72nd St (1/2/3),W 72nd St,at Broadway,40.77879771693526,-73.98194722028448,"[{'label': 'display', 'lat': 40.77879771693526, 'lng': -73.98194722028448}]",Upper West Side,5,,,,,
5,4b54cfd0f964a520a1cd27e3,MTA Subway - 57th St/7th Ave (N/Q/R/W),57th St,at 7th Ave,40.764692,-73.980665,"[{'label': 'display', 'lat': 40.764692, 'lng': -73.980665}]",Upper West Side,6,,,,,
6,585d94a88d8e995f73e18dfa,MTA Subway - 72nd St (Q),2nd Ave,E. 72nd St,40.768734355066044,-73.95842772569098,"[{'label': 'display', 'lat': 40.768734355066044, 'lng': -73.95842772569098}]",Upper West Side,7,,,,,
7,4c7f97ec01df3704a28fe6ac,Pier I,W 70th st,Riverside Blvd,40.77977355561303,-73.98945649567615,"[{'label': 'display', 'lat': 40.77977355561303, 'lng': -73.98945649567615}]",Upper West Side,8,,,,,
8,4ac289e3f964a5209f9920e3,Trump International Hotel & Tower® New York,1 Central Park W,at 60th St,40.76932505147269,-73.98156747607482,"[{'label': 'display', 'lat': 40.76932505147269, 'lng': -73.98156747607482}]",Upper West Side,9,,,,,
9,4b0eed54f964a520e55c23e3,MTA Subway - 96th St (B/C),96th St,at Central Park West,40.79177462584017,-73.96479310155709,"[{'label': 'display', 'lat': 40.79177462584017, 'lng': -73.96479310155709}]",Upper West Side,10,,,,,
10,4b186041f964a520bed123e3,MTA Subway - 68th St/Hunter College (6),Lexington Ave,at 68th St,40.767882490098124,-73.96408140481915,"[{'label': 'display', 'lat': 40.767882490098124, 'lng': -73.96408140481915}]",Upper West Side,11,,,,,
11,4ae04c9ef964a520907e21e3,MTA Subway - 116th St (2/3),Lenox Ave,at Malcom X Blvd,40.80208687249058,-73.94971458579188,"[{'label': 'display', 'lat': 40.80208687249058, 'lng': -73.94971458579188}]",Upper West Side,12,,,,,
12,49d18dfdf964a5208f5b1fe3,The Plaza Hotel,Fifth Avenue at Central Park South,at Central Park S,40.764446023339964,-73.97414488954924,"[{'label': 'display', 'lat': 40.764446023339964, 'lng': -73.97414488954924}]",Upper West Side,13,,,,,
13,585d1c117d0f6d0aa2b2515e,MTA Subway - 86th St (Q),2nd Ave,E. 86th St,40.77788,-73.951515,"[{'label': 'display', 'lat': 40.77788, 'lng': -73.951515}]",Upper West Side,14,,,,,
14,4b367d28f964a520963625e3,MTA Subway - 5th Ave/59th St (N/R/W),E. 60th St,5th Ave,40.76484729583336,-73.97266977756308,"[{'label': 'display', 'lat': 40.76484729583336, 'lng': -73.97266977756308}]",Upper West Side,15,,,,,
15,4b664c9cf964a520f51c2be3,MTA Subway - 86th St (1),Broadway,at 86th St,40.788493280801134,-73.97663558703987,"[{'label': 'display', 'lat': 40.788493280801134, 'lng': -73.97663558703987}]",Upper West Side,16,,,,,
16,4b5c8a98f964a520723529e3,MTA Subway - 72nd St (B/C),W 72nd St,at Central Park West,40.77607821008497,-73.97622365373213,"[{'label': 'display', 'lat': 40.77607821008497, 'lng': -73.97622365373213}]",Upper West Side,17,,,,,
17,4af61d9ef964a5205d0122e3,MTA Subway - 110th St/Central Park North (2/3),110th St & Malcolm X Blvd,at St Nicholas Ave,40.798726278415025,-73.95241624152885,"[{'label': 'display', 'lat': 40.798726278415025, 'lng': -73.95241624152885}]",Upper West Side,18,,,,,
